211,-0.01,-0.01,0.1222,0.1222,0.00,0.00,10
218,-0.84,-0.84,-0.1222,-0.1222,0.00,0.00,10
229,-0.60,-0.60,-0.1222,-0.1222,0.00,0.00,10
241,0.20,0.20,0.3666,0.3666,0.00,0.00,10
252,0.26,0.26,0.1222,0.1222,0.00,0.00,10
264,0.69,0.69,-0.2444,-0.2444,0.00,0.00,10
276,0.73,0.73,0.1222,0.1222,0.00,0.00,10
287,0.70,0.70,0.1222,0.1222,0.00,0.00,10
299,0.16,0.16,0.0000,0.0000,0.00,0.00,10
311,0.08,0.08,0.0000,0.0000,0.00,0.00,10
322,0.57,0.57,0.1222,0.1222,0.00,0.00,10
333,0.62,0.62,0.3666,0.3666,0.00,0.00,10
346,0.30,0.30,-0.1222,-0.1222,0.00,0.00,10
357,-0.34,-0.34,0.0000,0.0000,0.00,0.00,10
368,-0.30,-0.30,0.0000,0.0000,0.00,0.00,10
380,-0.26,-0.26,0.0000,0.0000,0.00,0.00,10
392,-0.31,-0.31,0.1222,0.1222,0.00,0.00,10
404,-0.04,-0.04,0.1222,0.1222,0.00,0.00,10
415,0.09,0.09,0.0000,0.0000,0.00,0.00,10
427,-0.00,-0.00,0.0000,0.0000,0.00,0.00,10
439,-0.56,-0.56,0.2444,0.2444,0.00,0.00,10
450,-0.44,-0.44,-0.2444,-0.2444,0.00,0.00,10
461,0.28,0.28,0.1222,0.1222,0.00,0.00,10
474,1.26,1.26,0.0000,0.0000,0.00,0.00,10
485,0.70,0.70,0.0000,0.0000,0.00,0.00,10
496,0.61,0.61,0.0000,0.0000,0.00,0.00,10
508,0.80,0.80,0.0000,0.0000,0.00,0.00,10
520,0.77,0.77,-0.1222,-0.1222,0.00,0.00,10
531,0.22,0.22,0.0000,0.0000,0.00,0.00,10
543,0.22,0.22,-0.2444,-0.2444,0.00,0.00,10
555,0.09,0.09,0.1222,0.1222,0.00,0.00,10
566,0.36,0.36,0.2444,0.2444,0.00,0.00,10
578,-0.19,-0.19,0.0000,0.0000,0.00,0.00,10
589,0.12,0.12,0.0000,0.0000,0.00,0.00,10
602,1.41,1.41,0.0000,0.0000,0.00,0.00,10
613,1.28,1.28,0.2444,0.2444,0.00,0.00,10
624,0.66,0.66,-0.1222,-0.1222,0.00,0.00,10
636,0.27,0.27,0.0000,0.0000,0.00,0.00,10
648,-0.41,-0.41,0.0000,0.0000,0.00,0.00,10
659,-0.18,-0.18,0.1222,0.1222,0.00,0.00,10
671,-0.07,-0.07,0.0000,0.0000,0.00,0.00,10
683,0.24,0.24,0.2444,0.2444,0.00,0.00,10
694,0.17,0.17,0.0000,0.0000,0.00,0.00,10
706,0.18,0.18,0.0000,0.0000,0.00,0.00,10
717,0.70,0.70,0.1222,0.1222,0.00,0.00,10
729,0.83,0.83,0.0000,0.0000,0.00,0.00,10
741,0.15,0.15,0.2444,0.2444,0.00,0.00,10
752,-0.19,-0.19,-0.1222,-0.1222,0.00,0.00,10
763,-0.07,-0.07,-0.1222,-0.1222,0.00,0.00,10
776,-0.24,-0.24,0.1222,0.1222,0.00,0.00,10
787,0.54,0.54,0.0000,0.0000,0.00,0.00,10
798,0.09,0.09,-0.2444,-0.2444,0.00,0.00,10
811,-0.53,-0.53,0.1222,0.1222,0.00,0.00,10
822,-0.33,-0.33,0.0000,0.0000,0.00,0.00,10
834,0.58,0.58,-0.1222,-0.1222,0.00,0.00,10
845,-0.02,-0.02,-0.1222,-0.1222,0.00,0.00,10
857,0.23,0.23,0.0000,0.0000,0.00,0.00,10
869,0.55,0.55,0.0000,0.0000,0.00,0.00,10
880,0.78,0.78,0.1222,0.1222,0.00,0.00,10
891,0.20,0.20,0.0000,0.0000,0.00,0.00,10
904,-0.09,-0.09,0.2444,0.2444,0.00,0.00,10
